product_name,category,review_title,review_text,rating,review_date,verified,review_length,sentiment,rating_sentiment
VON VRT-195DRHS Double Door Direct Cool,appliances,perfect buy,large freezer storage...and it is efficient and pretty❤️❤️❤️ we love it,5.0,2025-06-05,yes,11,positive,positive
VON VRT-195DRHS Double Door Direct Cool,appliances,nice product,"nice product,no noise",5.0,2025-06-03,yes,3,positive,positive
VON VRT-195DRHS Double Door Direct Cool,appliances,von 195l,freezer space,5.0,2025-06-03,yes,2,neutral,positive
VON VRT-195DRHS Double Door Direct Cool,appliances,i liked it,fast delivery,4.0,2025-06-03,yes,2,positive,positive
VON VRT-195DRHS Double Door Direct Cool,appliances,happy,"b4 ordering the product i always go through the comments coz it helps me make the decision whether to buy it or not...if u come across this one....
my friend u will love the product....its been a week and so far so go....100% recommend",5.0,2025-06-03,yes,44,positive,positive
VON VRT-195DRHS Double Door Direct Cool,appliances,comment,"fast delivery.good product,working perfectly well.spacious freezing compartment.",5.0,2025-05-30,yes,7,positive,positive
Ramtons RM/458 - Digital Glass Microwave,appliances,quality,the product looks good.a day in use and it's working well.monitoring this so as to buy another one and gift a friend.,5.0,2025-06-19,yes,22,neutral,positive
Ramtons RM/458 - Digital Glass Microwave,appliances,used it for a week now and it's good,working well!,5.0,2025-06-19,yes,2,neutral,positive
Ramtons RM/458 - Digital Glass Microwave,appliances,i love it,definetly recommend this brand it works really well also very stylish addition to the kitchen!,5.0,2025-06-13,yes,15,positive,positive
Ramtons RM/458 - Digital Glass Microwave,appliances,i like it,works perfectly well... i recommend it any time any day,4.0,2025-06-10,yes,10,positive,positive
Ramtons RM/458 - Digital Glass Microwave,appliances,liiike!!,good buy ...,4.0,2025-06-09,yes,3,positive,positive
Ramtons RM/458 - Digital Glass Microwave,appliances,amazing,"the product is just as advertised, fast delivery and is very silent. would recommend",5.0,2025-06-09,yes,14,neutral,positive
Ramtons RM/458 - Digital Glass Microwave,appliances,good,make the wire cord longer,5.0,2025-06-05,yes,5,neutral,positive
Ramtons RM/458 - Digital Glass Microwave,appliances,it works,it works well,4.0,2025-06-05,yes,3,neutral,positive
Ramtons RM/458 - Digital Glass Microwave,appliances,power,"it's good, only that its power is a bit low. it takes longer to heat up food/drinks",4.0,2025-05-30,yes,17,positive,positive
Ramtons RM/458 - Digital Glass Microwave,appliances,i like it,it’s what i always wanted,4.0,2025-05-27,yes,5,neutral,positive
VON VALS-75BWY Twin Tub Washing Machine,appliances,honestly it's just okay for middle class..,it's awesome it does the work. i was abit worried kama itangarisha nguo. it's affordable and work very fine...,4.0,2025-06-19,yes,19,positive,positive
VON VALS-75BWY Twin Tub Washing Machine,appliances,washing machine,it works well. no back and forth.. at least no more stress.,5.0,2025-06-18,yes,12,negative,positive
VON VALS-75BWY Twin Tub Washing Machine,appliances,the product is good,like it thanks ????,5.0,2025-06-18,yes,4,positive,positive
VON VALS-75BWY Twin Tub Washing Machine,appliances,i like it,it works soo nice,5.0,2025-06-17,yes,4,positive,positive
VON VALS-75BWY Twin Tub Washing Machine,appliances,washing machine,the package performs well,5.0,2025-06-17,yes,4,neutral,positive
VON VALS-75BWY Twin Tub Washing Machine,appliances,not bad,works well only downside is the fact that it did not come with the water filter as von should,4.0,2025-06-16,yes,19,neutral,positive
VON VALS-75BWY Twin Tub Washing Machine,appliances,its the best choice to make,it is friendly in terms of power consumption and in laundry,5.0,2025-06-16,yes,11,positive,positive
VON VALS-75BWY Twin Tub Washing Machine,appliances,iko freshi,iko tu sawa,5.0,2025-06-16,yes,3,neutral,positive
VON VALS-75BWY Twin Tub Washing Machine,appliances,its very nice,"it saves power,",5.0,2025-06-13,yes,3,neutral,positive
VON VALS-75BWY Twin Tub Washing Machine,appliances,nice & lovely!!!,nice & lovely!!!,5.0,2025-06-12,yes,3,positive,positive
ElectroMate Dry Iron Box,appliances,its good,its fantastic works,5.0,2025-06-19,yes,3,positive,positive
ElectroMate Dry Iron Box,appliances,timely deliverly,timely delivery,5.0,2025-06-17,yes,2,neutral,positive
ElectroMate Dry Iron Box,appliances,good,it does not overheat.,5.0,2025-06-16,yes,4,neutral,positive
ElectroMate Dry Iron Box,appliances,easy to use,"i just love it ???? simple ???? 
it's really good. and it cools down the heat when it gets too  hot",5.0,2025-06-16,yes,21,positive,positive
ElectroMate Dry Iron Box,appliances,i love it.. functioning  well.,the product is functioning well and it's  easy to regulate  based on the materials of the fabric. the power cord is slightly short  but can serve the purpose intended.,5.0,2025-06-13,yes,29,positive,positive
ElectroMate Dry Iron Box,appliances,its just advertised,arrived on time,5.0,2025-06-13,yes,3,neutral,positive
ElectroMate Dry Iron Box,appliances,good cheap offer,good for the price and okay,5.0,2025-06-12,yes,6,positive,positive
ElectroMate Dry Iron Box,appliances,well wrapped,"so far so good,",4.0,2025-06-12,yes,4,positive,positive
ElectroMate Dry Iron Box,appliances,the cable is too short improve on it .,increase the cable wire,2.0,2025-06-11,yes,4,neutral,negative
ElectroMate Dry Iron Box,appliances,i like it,good quality,5.0,2025-06-11,yes,2,positive,positive
Rashnik RN-2451B Hot And Normal Stand Alone Dispenser,appliances,i like it.,it is simple to operate and works perfectly fine.,5.0,2025-06-20,yes,9,positive,positive
Rashnik RN-2451B Hot And Normal Stand Alone Dispenser,appliances,it’s rather small.,it’s rather small,2.0,2025-06-19,yes,3,negative,negative
Rashnik RN-2451B Hot And Normal Stand Alone Dispenser,appliances,met expectations,met expectations. fairly priced.,5.0,2025-06-13,yes,4,positive,positive
Rashnik RN-2451B Hot And Normal Stand Alone Dispenser,appliances,working well,"ensure transporting it carefully, it was  somehow scratched",5.0,2025-06-13,yes,8,neutral,positive
Rashnik RN-2451B Hot And Normal Stand Alone Dispenser,appliances,works well. i like it,lightweight but serves its purpose,5.0,2025-06-03,yes,5,neutral,positive
Rashnik RN-2451B Hot And Normal Stand Alone Dispenser,appliances,i like the product,"the packaging is nice
qiuck delivery
good quality",5.0,2025-05-08,yes,8,positive,positive
Rashnik RN-2451B Hot And Normal Stand Alone Dispenser,appliances,not perfect,"does not make water hot, i'm disappointed ☹️",1.0,2025-05-06,yes,8,negative,negative
Rashnik RN-2451B Hot And Normal Stand Alone Dispenser,appliances,so far so goood,yeah.. if there was a cold one too,3.0,2025-02-13,yes,8,negative,neutral
Rashnik RN-2451B Hot And Normal Stand Alone Dispenser,appliances,just ok,improve on quality,4.0,2025-01-21,yes,3,neutral,positive
Ramtons RM/399-corded Electric Kettle,appliances,its quality ????,it's serving the purpose,5.0,2025-06-20,yes,4,neutral,positive
Ramtons RM/399-corded Electric Kettle,appliances,works perfectly,this is your sign to get this electric jug,5.0,2025-06-18,yes,9,neutral,positive
Ramtons RM/399-corded Electric Kettle,appliances,convenient,"heats fast, less power consumption",5.0,2025-06-18,yes,5,neutral,positive
Ramtons RM/399-corded Electric Kettle,appliances,was not disaponted,the best ????,5.0,2025-06-18,yes,3,positive,positive
Ramtons RM/399-corded Electric Kettle,appliances,cable,yes the cable to be removable,3.0,2025-06-17,yes,6,neutral,neutral
Ramtons RM/399-corded Electric Kettle,appliances,well packed,working  well,5.0,2025-06-17,yes,2,neutral,positive
Ramtons RM/399-corded Electric Kettle,appliances,ramtons  electric kettle,it heats water really fast. worth buying,5.0,2025-06-16,yes,7,positive,positive
Lyons YT-138 Blender 2 In 1,appliances,satisfied,it is working as expected,4.0,2025-06-18,yes,5,neutral,positive
Lyons YT-138 Blender 2 In 1,appliances,good quality and cost effective,so far loving it's serving the purpose well though its noisy.i recommend it.,5.0,2025-06-17,yes,13,positive,positive
Lyons YT-138 Blender 2 In 1,appliances,"i like,love it",everything ????,5.0,2025-06-16,yes,2,neutral,positive
Lyons YT-138 Blender 2 In 1,appliances,good but it produce too much noise,the noise is too much,5.0,2025-06-13,yes,5,positive,positive
Lyons YT-138 Blender 2 In 1,appliances,blender,works perfectly,4.0,2025-06-12,yes,2,positive,positive
Lyons YT-138 Blender 2 In 1,appliances,great,good as advertised,5.0,2025-06-10,yes,3,positive,positive
Lyons YT-138 Blender 2 In 1,appliances,efficient,works efficiently for home use...,5.0,2025-06-09,yes,5,neutral,positive
Lyons YT-138 Blender 2 In 1,appliances,using this machine,"it's well made that cannot spoil first ,i can recommend people to buy .but mnipatie sawadi ya fridge",5.0,2025-06-09,yes,18,positive,positive
Lyons YT-138 Blender 2 In 1,appliances,the design,it's working very smoothly,5.0,2025-06-03,yes,4,positive,positive
AILYONS SB501 2.1CH Sound Bar SubWoofer,tvs and audios,i like it,the price matches the product.,5.0,2025-06-16,yes,5,neutral,positive
AILYONS SB501 2.1CH Sound Bar SubWoofer,tvs and audios,quality product,add fm radio,4.0,2025-06-12,yes,3,neutral,positive
AILYONS SB501 2.1CH Sound Bar SubWoofer,tvs and audios,good,worth the price,4.0,2025-06-09,yes,3,positive,positive
AILYONS SB501 2.1CH Sound Bar SubWoofer,tvs and audios,boom,what a machine!,5.0,2025-06-09,yes,3,neutral,positive
AILYONS SB501 2.1CH Sound Bar SubWoofer,tvs and audios,bluetooth connectivity,"the sound, when connected to a smart tv via bluetooth, goes silent for short periods of time without any prompting, which is an inconvenient design/performance flaw.",3.0,2025-06-04,yes,26,neutral,neutral
AILYONS SB501 2.1CH Sound Bar SubWoofer,tvs and audios,good,no complaints here.,4.0,2025-05-16,yes,3,neutral,positive
AILYONS SB501 2.1CH Sound Bar SubWoofer,tvs and audios,bass is wow,"worth the prices, it exceeded my expectations",5.0,2025-05-05,yes,7,positive,positive
Vitron V400 2.1Ch Bluetooth Speaker System,tvs and audios,good and sustainable,its good for the amount of cash sold,4.0,2025-06-16,yes,8,positive,positive
Vitron V400 2.1Ch Bluetooth Speaker System,tvs and audios,awesome,met my expectation,4.0,2025-06-09,yes,3,neutral,positive
Vitron V400 2.1Ch Bluetooth Speaker System,tvs and audios,good,always smart with good sound,5.0,2025-05-16,yes,5,positive,positive
Vitron V400 2.1Ch Bluetooth Speaker System,tvs and audios,excellent quality,i loved the product ????????,5.0,2025-05-05,yes,5,positive,positive
Itel BudsNeo 3 ANC Wireless Bluetooth Earphone,phones and tablets,superb,"well balanced equalised bass and tone,",5.0,2025-06-20,yes,6,negative,positive
Itel BudsNeo 3 ANC Wireless Bluetooth Earphone,phones and tablets,battery life,relatively good sound and great battery life,5.0,2025-06-20,yes,7,positive,positive
Itel BudsNeo 3 ANC Wireless Bluetooth Earphone,phones and tablets,i love it,"you get exactly what is advertised there. my advice is this, always buy electronics from official stores because they have a warranty. the pods sre are wonderful. the bass is super abd battery is truly wonderful. sijawahi charge. this is week 3????",5.0,2025-06-19,yes,42,positive,positive
Itel BudsNeo 3 ANC Wireless Bluetooth Earphone,phones and tablets,battery life,are they not supposed to be charged? my third week without charging now ????????,5.0,2025-06-17,yes,14,neutral,positive
Itel BudsNeo 3 ANC Wireless Bluetooth Earphone,phones and tablets,perfection,bought it for the sound ???? and the long play time without frequent charging ????,5.0,2025-06-16,yes,15,positive,positive
Itel BudsNeo 3 ANC Wireless Bluetooth Earphone,phones and tablets,good,the touch pad is too sensitive when lying down. audio quality is good and battery is perfect,4.0,2025-06-12,yes,17,positive,positive
Itel BudsNeo 3 ANC Wireless Bluetooth Earphone,phones and tablets,best,what imperessed me the most is the battery life.,4.0,2025-06-11,yes,9,positive,positive
Itel BudsNeo 3 ANC Wireless Bluetooth Earphone,phones and tablets,power,"the buds have quality sound. 
the only problem is that if they turn off, you cannot turn them back on without putting them back in the case.",4.0,2025-06-05,yes,27,neutral,positive
Itel BudsNeo 3 ANC Wireless Bluetooth Earphone,phones and tablets,itel,music wise the buds are excellent... the problem is when am making calls..so much noise on the other end,4.0,2025-06-03,yes,19,positive,positive
Itel BudsNeo 3 ANC Wireless Bluetooth Earphone,phones and tablets,ite budsneo 3,still enjoying my earbuds.the sound is okey and they keep charge for long.,4.0,2025-06-03,yes,13,positive,positive
Boy Boyurn-Down Collor Top + Shorts,fashion,clothe,my nephew is rocking in it,5.0,2025-06-04,yes,6,neutral,positive
Boy Boyurn-Down Collor Top + Shorts,fashion,perfect,not bad.. i liked it,4.0,2024-12-24,yes,5,positive,positive
Boy Boyurn-Down Collor Top + Shorts,fashion,quality,"not the perfect quality,but it's great and looks very nice. will definitely buy again",4.0,2024-09-23,yes,14,positive,positive
Boy Boyurn-Down Collor Top + Shorts,fashion,price,should be cheaper. not bad though.,3.0,2024-08-23,yes,6,positive,neutral
Boy Boyurn-Down Collor Top + Shorts,fashion,superb!!!,"loved it, nice quality and heavy fabric.",5.0,2024-08-12,yes,7,positive,positive
Boy Boyurn-Down Collor Top + Shorts,fashion,quality,"the outfit is awesome????, quality top notch????. please restock 3-4yrs",5.0,2024-07-04,yes,10,positive,positive
Kids Girl 2PCS Puff Sleeve Top Floral Dresses,fashion,best,looks good on my babygirl,5.0,2025-05-27,yes,5,positive,positive
Kids Girl 2PCS Puff Sleeve Top Floral Dresses,fashion,poor quality  &  poor packing,very light...i didn't expect it that way....too expensive but poor quality,1.0,2025-05-02,yes,11,negative,negative
Kids Girl 2PCS Puff Sleeve Top Floral Dresses,fashion,material used,poor quality,2.0,2025-04-22,yes,2,negative,negative
Kids Girl 2PCS Puff Sleeve Top Floral Dresses,fashion,colour,the colour  match and how it fits,5.0,2025-04-07,yes,7,neutral,positive
Kids Girl 2PCS Puff Sleeve Top Floral Dresses,fashion,loved it,it fit perfectly and was exactly what i ordered,5.0,2025-02-24,yes,9,positive,positive
Kids Girl 2PCS Puff Sleeve Top Floral Dresses,fashion,love it.,the product is good.,4.0,2024-12-24,yes,4,positive,positive
Kids Girl 2PCS Puff Sleeve Top Floral Dresses,fashion,beautiful dress,daughter rocked it at a birthday party,5.0,2024-11-07,yes,7,neutral,positive
Garnier Even & Matte Vitamin C Booster Serum,health and beauty,serum,it was what i ordered,4.0,2025-06-21,yes,5,neutral,positive
Garnier Even & Matte Vitamin C Booster Serum,health and beauty,it works,reduces white heads significantly,5.0,2025-06-21,yes,4,positive,positive
Garnier Even & Matte Vitamin C Booster Serum,health and beauty,god sent.,"smooth face, even tone. everything good ????",5.0,2025-06-19,yes,7,positive,positive
Garnier Even & Matte Vitamin C Booster Serum,health and beauty,product quality,i got one of the twin packs being half. not sure how that happened,3.0,2025-06-18,yes,14,negative,neutral
Garnier Even & Matte Vitamin C Booster Serum,health and beauty,functionality,it's not doing what it says it does,1.0,2025-06-16,yes,8,neutral,negative
Garnier Even & Matte Vitamin C Booster Serum,health and beauty,product effectiveness,"it really giving the even skin tone, but for darks it's not clearing been using for months and still have dark spots",3.0,2025-06-13,yes,22,neutral,neutral
Garnier Even & Matte Vitamin C Booster Serum,health and beauty,garniervitamin c serum,best serum ever,5.0,2025-06-13,yes,3,positive,positive
Garnier Even & Matte Vitamin C Booster Serum,health and beauty,i like it,it really works,5.0,2025-06-09,yes,3,positive,positive
Garnier Even & Matte Vitamin C Booster Serum,health and beauty,the best serum,"this is by far the best serum!!! brightens, not harsh on skin, very good scent and it gives the glow ????",5.0,2025-06-09,yes,21,positive,positive
Garnier Even & Matte Vitamin C Booster Serum,health and beauty,i like it,"it's good. am on my 2nd bottle, and i have received comments that my skin is looking good. it has really brightened my skin, in a non-bleavhing way. just glowy!",5.0,2025-06-07,yes,30,positive,positive
Women's Bag Literary Single-Shoulder Bag,fashion,the strap,the strap of the bag broke on the first day of using it,3.0,2025-02-17,yes,13,positive,neutral
Women's Bag Literary Single-Shoulder Bag,fashion,its too small....would be nicer if it was bigger,you should add a zipper so that it's more secure,2.0,2024-11-18,yes,10,positive,negative
Women's Bag Literary Single-Shoulder Bag,fashion,good,should include at least one more zipped inside to separate things,4.0,2024-11-18,yes,11,neutral,positive
Women's Bag Literary Single-Shoulder Bag,fashion,it's really nice,it's strong and cute,5.0,2024-11-15,yes,4,positive,positive
Women's Bag Literary Single-Shoulder Bag,fashion,good purchase,for the price it's a actually a good purchase,4.0,2024-11-11,yes,9,positive,positive
Women's Bag Literary Single-Shoulder Bag,fashion,i like it.,came as just shown on the picture.,4.0,2024-11-11,yes,7,neutral,positive
Women's Bag Literary Single-Shoulder Bag,fashion,i like it,"quite small, but serves the purpose",4.0,2024-11-11,yes,6,negative,positive
Women's Bag Literary Single-Shoulder Bag,fashion,angeline,"too small, poor packaging and very light straps",1.0,2024-11-11,yes,8,neutral,negative
Women's Bag Literary Single-Shoulder Bag,fashion,the bag was beautiful..i loved it ????,"but it was not well packaged 
it was packaged with a transparent paper",1.0,2024-10-24,yes,13,neutral,negative
Hot And Normal Stand Alone Dispenser (Black),appliances,i like it.,it is simple to operate and works perfectly fine.,5.0,2025-06-20,yes,9,positive,positive
Hot And Normal Stand Alone Dispenser (Black),appliances,it’s rather small.,it’s rather small,2.0,2025-06-19,yes,3,negative,negative
Hot And Normal Stand Alone Dispenser (Black),appliances,met expectations,met expectations. fairly priced.,5.0,2025-06-13,yes,4,positive,positive
Hot And Normal Stand Alone Dispenser (Black),appliances,working well,"ensure transporting it carefully, it was  somehow scratched",5.0,2025-06-13,yes,8,neutral,positive
Hot And Normal Stand Alone Dispenser (Black),appliances,works well. i like it,lightweight but serves its purpose,5.0,2025-06-03,yes,5,neutral,positive
Hot And Normal Stand Alone Dispenser (Black),appliances,i like the product,"the packaging is nice
qiuck delivery
good quality",5.0,2025-05-08,yes,8,positive,positive
Hot And Normal Stand Alone Dispenser (Black),appliances,not perfect,"does not make water hot, i'm disappointed ☹️",1.0,2025-05-06,yes,8,negative,negative
Hot And Normal Stand Alone Dispenser (Black),appliances,so far so goood,yeah.. if there was a cold one too,3.0,2025-02-13,yes,8,negative,neutral
Hot And Normal Stand Alone Dispenser (Black),appliances,just ok,improve on quality,4.0,2025-01-21,yes,3,neutral,positive
Vitron V527 - 2.1 CH Multimedia Speaker,tvs and audios,perfect,it's working just fine,5.0,2025-06-18,yes,4,positive,positive
Vitron V527 - 2.1 CH Multimedia Speaker,tvs and audios,speakers,speakers should be wireless,4.0,2025-06-17,yes,4,neutral,positive
Vitron V527 - 2.1 CH Multimedia Speaker,tvs and audios,best music system,perfect system,5.0,2025-06-17,yes,2,positive,positive
Vitron V527 - 2.1 CH Multimedia Speaker,tvs and audios,sound and its simplicity,it's super cool,5.0,2025-06-13,yes,3,positive,positive
Vitron V527 - 2.1 CH Multimedia Speaker,tvs and audios,amazing,the sound is amazing,5.0,2025-06-13,yes,4,positive,positive
Vitron V527 - 2.1 CH Multimedia Speaker,tvs and audios,fairly good,the humming sound on standby mode irritating,3.0,2025-06-11,yes,7,neutral,neutral
Vitron V527 - 2.1 CH Multimedia Speaker,tvs and audios,just keep the good work.,the package has reached safely  and is  good,4.0,2025-06-11,yes,8,positive,positive
Vitron V527 - 2.1 CH Multimedia Speaker,tvs and audios,what i like with vitron speakers,they beat so nice,5.0,2025-06-10,yes,4,positive,positive
Couple Canvas Low Top Lace-up Shoes,fashion,canvas,you know something is good when you buy it twice,5.0,2025-06-17,yes,10,positive,positive
Couple Canvas Low Top Lace-up Shoes,fashion,ever lasting,nice one????,5.0,2025-06-16,yes,2,positive,positive
Couple Canvas Low Top Lace-up Shoes,fashion,cn,as advertised,5.0,2025-06-15,yes,2,neutral,positive
Couple Canvas Low Top Lace-up Shoes,fashion,liked it,"i'm happy with the shoes. they arrived on time, and the quality is good. they're also very comfortable. definitely worth it.",5.0,2025-06-11,yes,21,positive,positive
